ID,label
0,3
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,3
9,0
10,0
11,3
12,0
13,0
14,0
15,1
16,2
17,3
18,1
19,3
20,3
21,1
22,0
23,0
24,3
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,4
41,0
42,0
43,0
44,0
45,0
46,1
47,3
48,0
49,0
50,3
51,1
52,1
53,2
54,1
55,0
56,0
57,1
58,0
59,1
60,2
61,3
62,1
63,0
64,0
65,0
66,0
67,0
68,1
69,2
70,0
71,0
72,0
73,3
74,4
75,2
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,3
84,2
85,2
86,0
87,3
88,1
89,1
90,3
91,0
92,2
93,0
94,0
95,1
96,3
97,2
98,1
99,3
100,0
101,0
102,3
103,0
104,2
105,1
106,0
107,2
108,0
109,0
110,4
111,0
112,1
113,3
114,0
115,1
116,1
117,0
118,0
119,3
120,0
121,0
122,3
123,0
124,0
125,1
126,0
127,3
128,0
129,0
130,3
131,0
132,1
133,1
134,1
135,1
136,0
137,0
138,3
139,0
140,1
141,1
142,3
143,0
144,0
145,1
146,0
147,0
148,2
149,1
150,0
151,0
152,0
153,3
154,1
155,0
156,0
157,0
158,3
159,0
160,3
161,0
162,0
163,0
164,1
165,0
166,3
167,0
168,0
169,0
170,0
171,0
172,0
173,2
174,0
175,2
176,0
177,2
178,0
179,2
180,0
181,0
182,0
183,2
